Semana;Tienda;Tipo mat;Grupo articulos;Sexo;Age Group;Entradas Tienda;Venta U;Venta Bruta $;Costo Neto $;Stock
W01;01-Ahumada;ZAPP;AD;Male;Adult;6857;2;46790;23194;89
W01;01-Ahumada;ZAPP;NI;Female;Adult;6857;1;26990;12520;118
W01;01-Ahumada;ZAPP;NI;Female;Pre School + Grade School;6857;3;73680;34777;18
W01;01-Ahumada;ZAPP;NI;Male;Adult;6857;19;593950;285666;270
W01;01-Ahumada;ZAPP;NI;Male;Grade School;6857;2;38980;18083;136
W01;01-Ahumada;ZAPP;NP;Female;Pre School;6857;3;37690;18078;15
W01;01-Ahumada;ZAPP;NP;Male;Pre School;6857;8;121920;56559;29
W01;01-Ahumada;ZAPP;PM;Male;Adult;6857;13;236490;112014;126
W01;01-Ahumada;ZAPP;QS;Male;Adult;6857;1;16990;9239;14
W01;01-Ahumada;ZAPP;UA;Female;Adult;6857;2;37980;17724;14
W01;01-Ahumada;ZAPP;UA;Male;Adult;6857;4;107960;51580;152
W01;01-Ahumada;ZEQU;AD;Male;Adult;6857;14;237860;118407;66
W01;01-Ahumada;ZEQU;AD;Unisex;Adult;6857;24;321260;166219;415
W01;01-Ahumada;ZEQU;KE;Unisex;Adult;6857;1;19990;8470;19
W01;01-Ahumada;ZEQU;MN;Male;Adult;6857;3;89970;32489;103
W01;01-Ahumada;ZEQU;MO;Male;Adult;6857;2;53980;22277;25
W01;01-Ahumada;ZEQU;NI;;;6857;2;45980;21329;
W01;01-Ahumada;ZEQU;NI;Female;Adult;6857;2;23980;10196;43
W01;01-Ahumada;ZEQU;NI;Female;Pre School + Grade School;6857;1;26990;12520;24
W01;01-Ahumada;ZEQU;NI;Male;Adult;6857;69;1158590;529226;796
W01;01-Ahumada;ZEQU;NI;Male;Grade School;6857;1;13990;6489;20
W01;01-Ahumada;ZEQU;NI;Unisex;Adult;6857;6;151940;71409;33
W01;01-Ahumada;ZEQU;NP;Male;Pre School;6857;3;23970;10190;35
W01;01-Ahumada;ZEQU;NP;Male;Toddler;6857;1;6990;3242;1
W01;01-Ahumada;ZEQU;NP;Unisex;Adult;6857;4;59960;24104;9
W01;01-Ahumada;ZEQU;PM;;;6857;1;16990;5917;
W01;01-Ahumada;ZEQU;PM;Female;Adult;6857;1;8990;2729;
W01;01-Ahumada;ZEQU;PM;Male;Adult;6857;37;437790;182525;102
W01;01-Ahumada;ZEQU;PM;Male;Pre School;6857;3;17970;8187;0
W01;01-Ahumada;ZEQU;PM;Unisex;Adult;6857;11;94890;37761;43
W01;01-Ahumada;ZEQU;UA;Unisex;Adult;6857;2;29980;14412;19
W01;01-Ahumada;ZEQU;UM;Male;Adult;6857;2;35980;12849;15
W01;01-Ahumada;ZFOO;AD;;;6857;0;0;25214;
W01;01-Ahumada;ZFOO;AD;Female;Adult;6857;12;689890;337757;299
W01;01-Ahumada;ZFOO;AD;Female;Pre School + Grade School;6857;1;36990;18654;27
W01;01-Ahumada;ZFOO;AD;Female;Toddler;6857;2;67980;34292;69
W01;01-Ahumada;ZFOO;AD;Male;Adult;6857;33;2073670;1024469;736
W01;01-Ahumada;ZFOO;AD;Male;Grade School;6857;-1;-39990;-20167;35
W01;01-Ahumada;ZFOO;AD;Male;Pre School;6857;5;175950;88415;71
W01;01-Ahumada;ZFOO;AD;Male;Pre School + Grade School;6857;5;193950;97810;172
W01;01-Ahumada;ZFOO;AD;Male;Toddler;6857;4;145960;73619;172
W01;01-Ahumada;ZFOO;AN;Male;Adult;6857;1;44990;19162;1
