iter	RMSE
0	745744.4141
1	742102.3116
2	738469.8059
3	734863.2403
4	731283.909
5	727737.5821
6	724241.6301
7	720836.1301
8	717487.1302
9	714231.9459
10	711045.6963
11	707810.4821
12	704701.8384
13	701586.282
14	698568.3875
15	695558.2364
16	692517.4298
17	689469.1957
18	686711.7205
19	683870.1651
20	681129.6451
21	678448.3149
22	675763.8353
23	673094.6784
24	670520.9473
25	668030.1946
26	665500.6928
27	662958.5233
28	660481.2282
29	658112.1767
30	655567.1845
31	653205.3692
32	650779.6568
33	648303.9801
34	646046.5499
35	643829.5491
36	641409.8772
37	639198.7809
38	637075.4507
39	634799.2526
40	632731.1323
41	630743.2783
42	628590.2228
43	626399.1767
44	624322.0487
45	622355.9748
46	620544.1186
47	618721.2177
48	616952.43
49	615203.9363
50	613182.5296
51	611406.3971
52	609622.1303
53	607882.6529
54	606149.1611
55	604190.6369
56	602583.0228
57	601022.8342
58	599264.2102
59	597608.1014
60	596093.509
61	594495.2281
62	592948.6512
63	591346.9518
64	589818.5343
65	588414.1911
66	587007.4201
67	585553.6042
68	584119.5227
69	582479.3091
70	581027.5536
71	579655.3461
72	578266.6949
73	577019.9595
74	575672.631
75	574336.3884
76	573072.8927
77	571792.1639
78	570337.9201
79	568979.4623
80	567831.1123
81	566662.2254
82	565439.5142
83	564195.9461
84	563144.4004
85	562056.0857
86	560715.8594
87	559598.1507
88	558255.3967
89	557066.8661
90	555902.054
91	554909.0076
92	553816.9629
93	552806.0717
94	551702.6981
95	550704.2442
96	549706.3893
97	548743.7526
98	547715.9324
99	546676.0359
100	545755.5051
101	544726.3452
102	543744.2338
103	542761.9919
104	541888.5628
105	540918.1273
106	540004.0407
107	539232.4878
108	538469.1841
109	537515.3607
110	536676.8964
111	535765.2282
112	534868.1651
113	533996.9073
114	533135.3069
115	532290.051
116	531480.2293
117	530661.8871
118	529946.5234
119	529134.7785
120	528376.4393
121	527720.3191
122	526983.599
123	526109.7709
124	525376.2941
125	524598.8046
126	523854.8067
127	523046.3683
128	522306.375
129	521639.6865
130	520694.2505
131	519695.8607
132	518989.2795
133	518291.0814
134	517487.9992
135	516743.4231
136	515990.6075
137	515181.4289
138	514290.2849
139	513368.6298
140	512698.7417
141	511846.4638
142	511146.2023
143	510332.733
144	509475.3529
145	508880.7181
146	508294.2812
147	507719.9666
148	507052.3563
149	506490.1843
150	505796.9302
151	505207.3831
152	504625.0367
153	504039.493
154	503240.2178
155	502629.4192
156	502047.5822
157	501388.2258
158	500659.1006
159	500109.1096
160	499491.6804
161	498751.2813
162	498081.2322
163	497545.5871
164	497083.9377
165	496374.9254
166	495720.7231
167	495069.1874
168	494585.709
169	494015.7666
170	493373.4407
171	492908.7479
172	492411.861
173	491923.4591
174	491406.0508
175	490803.7598
176	490338.3625
177	489844.6082
178	489362.4685
179	488868.5292
180	488502.9525
181	488041.2698
182	487544.1353
183	487094.8237
184	486754.2608
185	486291.1256
186	485742.671
187	485354.4137
188	484882.1504
189	484407.435
190	483972.2054
191	483592.5372
192	483149.3243
193	482699.3509
194	482227.604
195	481774.8861
196	481406.771
197	480850.495
198	480487.4379
199	480082.3033
200	479646.8985
201	479279.6812
202	478883.1851
203	478522.1105
204	478188.8956
205	477831.7809
206	477452.2765
207	477132.238
208	476753.8226
209	476369.8948
210	475958.3229
211	475682.0596
212	475372.6006
213	475030.041
214	474720.3827
215	474362.8655
216	474078.9497
217	473670.7065
218	473341.6055
219	473022.9479
220	472746.8791
221	472441.5566
222	472068.5468
223	471744.6662
224	471513.826
225	471241.1347
226	470946.1464
227	470597.0327
228	470242.5852
229	469923.8186
230	469538.2239
231	469166.6759
232	468928.8557
233	468648.4933
234	468368.9969
235	468105.1296
236	467767.234
237	467440.1207
238	467146.7246
239	466880.0151
240	466531.0375
241	465990.2885
242	465737.9984
243	465531.8687
244	465208.4538
245	464820.4369
246	464568.4984
247	464320.6916
248	464067.9766
249	463876.0372
250	463660.4887
251	463329.8706
252	463065.275
253	462805.3763
254	462512.1279
255	462225.6434
256	462047.9955
257	461814.6645
258	461538.3157
259	461035.1764
260	460852.5401
261	460609.358
262	460323.5765
263	460101.479
264	459853.0159
265	459642.5223
266	459430.508
267	459198.9132
268	458726.9181
269	458427.0095
270	458188.1803
271	457977.0571
272	457713.2294
273	457402.3098
