iter	Passed	Remaining
0	3	336
1	7	355
2	13	431
3	17	416
4	21	417
5	26	418
6	30	411
7	36	421
8	40	406
9	45	410
10	52	426
11	57	419
12	61	408
13	74	459
14	79	448
15	83	440
16	87	427
17	90	412
18	95	405
19	98	395
20	101	382
21	104	370
22	107	360
23	111	351
24	114	343
25	118	337
26	123	334
27	127	326
28	131	321
29	135	315
30	139	310
31	143	305
32	147	300
33	154	299
34	160	297
35	165	294
36	169	288
37	173	282
38	177	277
39	181	272
40	185	266
41	188	260
42	194	257
43	202	257
44	208	254
45	214	251
46	219	247
47	223	241
48	227	236
49	231	231
50	234	225
51	238	219
52	241	214
53	245	209
54	248	203
55	251	197
56	255	192
57	258	186
58	261	181
59	265	176
60	268	171
61	272	166
62	276	162
63	279	157
64	282	152
65	285	147
66	289	142
67	293	138
68	297	133
69	301	129
70	304	124
71	307	119
72	311	115
73	314	110
74	317	105
75	320	101
76	324	96
77	329	92
78	332	88
79	335	83
80	339	79
81	342	75
82	345	70
83	349	66
84	352	62
85	355	57
86	360	53
87	364	49
88	367	45
89	370	41
90	374	36
91	377	32
92	380	28
93	383	24
94	386	20
95	390	16
96	392	12
97	396	8
98	399	4
99	402	0
